Name,Address,Location,Country,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Kam's Roast Goose,"226 Hennessy Road, Hong Kong",,Hong Kong,$$,Cantonese Roast Meats,114.1755582,22.2777963,+85225201110,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,http://www.krg.com.hk,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Reservations not accepted,Visa credit card,Wheelchair access"
Fook Lam Moon (Wan Chai),"35-45 Johnston Road, Hong Kong",,Hong Kong,$$$,Cantonese,114.1708815,22.2768816,+85228660663,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/fook-lam-moon-wan-chai,,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Maestro,Mastercard credit card,Valet parking,Visa credit card,Wheelchair access"
Yat Lok,"34-38 Stanley Street, Hong Kong",,Hong Kong,$$,Cantonese Roast Meats,114.1552639,22.2825486,+85225243882,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/yat-lok,,1 MICHELIN Star,"Air conditioning,Cash only,Reservations not accepted"
Takumi by Daisuke Mori,"Shop 1, GF, The Oakhill, 16 Wood Road, Hong Kong",,Hong Kong,$$$$,Innovative,114.1772288,22.2766457,+85255998133,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,https://takumibymori.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Notable sake list,Particularly interesting wine list,Visa credit card,Wheelchair access"
Beefbar,"2F, Club Lusitano, 16 Ice House Street, Hong Kong",,Hong Kong,$$$,Steakhouse,114.1574689,22.2799503,+85221108853,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/beefbar,http://hk.beefbar.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
The Chairman,"3/F, The Wellington, 198 Wellington Street, Hong Kong",,Hong Kong,$$,Cantonese,114.15297,22.28444,+85225552202,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/the-chairman,https://www.thechairmangroup.com/,1 MICHELIN Star,"Air conditioning,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
Jardin de Jade (Wan Chai),"G3-4, GF, Sun Hung Kai Centre, 30 Harbour Road, Hong Kong",,Hong Kong,$$,Shanghainese,114.1769077,22.280532,+85235280228,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Tosca di Angelo,"102F, The Ritz-Carlton, International Commerce Centre, 1 Austin Road West, Hong Kong",,Hong Kong,$$$,Italian,114.1599308,22.3032095,+85222632270,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/tosca352519,https://www.ritzcarlton.com/en/hotels/china/hong-kong,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Brunch,Credit card / Debit card accepted,Great view,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Yè Shanghai (Tsim Sha Tsui),"702, 7F, K11 Musea, 18 Salisbury Road, Hong Kong",,Hong Kong,$$,Shanghainese,114.1741651,22.294118,+85223763322,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui-1191719,http://www.elite-concepts.com/home/main/en,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
Sushi Wadatsumi,"607, 6F, K11 Musea, 18 Salisbury Road, Hong Kong",,Hong Kong,$$$$,Sushi,114.17497,22.29504,+85226190199,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/sushi-wadatsumi-1197866,http://sushi-wadatsumi.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card,Wheelchair access"
Chaat,"5F, Rosewood, 18 Salisbury Road, Hong Kong",,Hong Kong,$$,Indian,114.1757148,22.2947649,+85238918732,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/chaat,https://www.chaat.hk/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Great view,JCB,Mastercard credit card,Terrace,Valet parking,Visa credit card,Wheelchair access"
Zest by Konishi,"28-29F, 18 On Lan Street, Hong Kong",,Hong Kong,$$$,French Contemporary,114.1567709,22.2806256,+85227150878,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/zest-by-konishi,https://zestbykonishihk.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access"
Mono,"5F, 18 On Lan Street, Hong Kong",,Hong Kong,$$$,Latin American,114.1567846,22.2805997,+85297269301,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/mono-1191514,http://www.mono.hk,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access"
Zhejiang Heen,"1-3F, Kiu Fu Commercial Building, 300-306 Lockhart Road, Hong Kong",,Hong Kong,$$,Zhejiang,114.17763,22.2787,+85228779011,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,http://www.zhejiangheen.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card"
Yong Fu,"Shop 2 at GF & 1F, Golden Star Building, 20-24 Lockhart Road, Hong Kong",,Hong Kong,$$$,Ningbo,114.169856,22.2782025,+85228817899,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/yong-fu-1191533,https://yongfuhk.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Ho Hung Kee (Causeway Bay),"Shop 1204-1205, 12F, Hysan Place, 500 Hennessy Road, Hong Kong",,Hong Kong,$$,Noodles and Congee,114.1837574,22.2799312,+85225776028,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,http://www.tasty.com.hk,1 MICHELIN Star,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Reservations not accepted,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access"
